article,rev_id
Abdullah bin Isa Al Khalifa,1182830303
Ahmed Behzad (Bahrain),1063482737
Kamal Ahmed (politician),1215486840
Mohamed Ali Hasan Ali,1006173162
Khalid Almoayed,1215466172
Aymen Tawfeeq Almoayed,1227286508
Nazar Al Baharna,1241906132
Mahmood Al Bahrani,1161492589
Ammar Al Bannai,1231654401
Jawad Fairooz,1177286981
Qasim Fakhro,1099067663
Faisal al-Hamar,1218302538
Nabeel bin Yaqub Al-Hamar,1159628135
Isa bin Abdulrahman Al Hammadi,1098344827
Jameel Humadan,1148959062
Isa bin Ibrahim Al Khalifa,1146485875
Fahmi al-Jowder,1172576081
Saud Kanoo,1098699647
Essam Khalaf,1006167519
Abdullah bin Hamad bin Isa Al Khalifa,1241499929
Ahmed bin Mohamed Al Khalifa,1221144846
Ali bin Khalifa Al Khalifa,1250591636
Hala bint Mohammed Al Khalifa,1232948277
Ibrahim ibn Khalifa Al Khalifa,1156409493
Mai bint Mohammed Al Khalifa,1217876419
Salman bin Khalifa Al Khalifa,1247375519
Hamad Al Kooheji,1233118749
Abdullatif Al-Mahmood,1227285970
Rasheed Mohammed Al Maraj,1247375502
Khalid Al Maskati,1209519423
Abdulhussain bin Ali Mirza,1195787872
Mohammed Al-Buainain,1063213013
Mohammed bin Khalifa bin Ahmed,1244455253
Mohammed bin Khalifa bin Ali Al Khalifa,1202322111
Abdulrahman al-Nuaimi,1235804624
Ammar Qambar,1140605737
Isa Qassim,1249444464
Abdulla Hassan Saif,1219928150
Ali bin Saleh Al Saleh,1239617504
Ahmed Al-Salloum,1244755894
Salman bin Hamad Al Khalifa,1250494329
Abdul Motaleb,1245374567
Abdus Salam (Chattogram politician),1245374007
Abul Hashim,1232200030
Oli Ahad,1247061966
Chowdhury Shamsuddin Ahmed,1237261756
Farid Ahmed,1245375794
Muzaffar Ahmed (NAP politician),1245380189
AKM Hafizuddin,1246694478
Mohammad Manjur Alam,1245377984
M Hossain Ali,1242815841
Aminul Islam Rabel,1245379837
Mohammad A. Arafat,1250294465
Ashab Uddin Ahmad,1245380479
Shafiqur Rahman Badsha,1245374148
Selina Banu,1183475136
Nurul Huq Bhuiyan,1236303322
Birendra Kishore Roaza,1246126702
Bishnu Chattopadhyay,1242147738
AKM Fazlul Kabir Chowdhury,1245380545
Aminul Islam Chowdhury,1175807916
Anwarul Karim Chowdhury,1245395466
Moinuddin Ahmed Chowdhury,1166369458
Sarwar Jan Chowdhury,1245377291
Shahinur Pasha Chowdhury,1245379554
Yusuf Ali Chowdhury,1228415190
Haji Mohammad Danesh,1230176939
Pulin De,1242126632
James Leo Ferguson,1212687396
Abdul Halim Ghaznavi,1237265302
Debendra Nath Ghosh,1240939624
Ranesh Das Gupta,1242257552
AKM Fazlul Haque (Jatiya Party politician),1245402550
Syed Najmuddin Hashim,1245394398
M. Anwar Hossain,1226325755
Nozir Hossain,1245378724
Husam Uddin Chowdhury Fultali,1247693188
Syed Muhammad Ibrahim,1247089625
Abul Kashem,1232782976
Abul Kashem Khan,1245380771
Hatem Ali Khan,1237261567
Muhammad Hamidullah Khan,1249497016
Yar Mohammad Khan,1244156514
Kazi Abdus Shahid Lal,1237261507
Jyotirindra Bodhipriya Larma,1247242676
Shamima Harun Lubna,1245374454
Manik Lal Ray,1117752666
Manjurul Imam,1245961260
Mushrefa Mishu,1066093324
Moin Uddin (politician),1245374542
Fazlul Haque Montu,1243563371
Mujahidul Islam Selim,1241208220
Mujibur Rahman (Chattogram politician),1245374586
Shafiul Alam Chowdhury Nadel,1245978368
SM Nuruzzaman,1246459927
Shamsul Huda Panchbagi,1232199873
Muhammad Bayazeed Khan Panni,1225060231
Ferdous Ahmed Qureshi,1246263516
Asheq Ullah Rafiq,1245374666
Abdur Rahim (scholar),1250599443
Habibar Rahman,1245395381
M. M. Rahmatullah,1242580877
Golam Maula Rony,1250534377
Devasish Roy,1247376048
Mahmudul Haque Sayem,1250491967
Maulana Shakhawat,1067136662
Abul Kalam Shamsuddin,1246347372
Badruddoza Ahmed Shuja,1245376617
Sourendra Nath Chakraborty,1245374793
Mohammad Sultan,1237264157
Syed Sayedul Haque Suman,1247669907
Mohammad Toaha,1046006361
Badruddin Umar,1220769997
Zahidunnabi Dewan Shamim,1237263822
Mohammad Zillur Rahman,1245374883
Elliott Belgrave,1242611945
